"Open";"High";"Low";"Close";"Volume";"Day"
"2009-09-21";0.419261695906433;0.447427293064877;0.399745222929936;0.421740797546012;49548400;2009-09-21
"2009-09-22";0.420279429025785;0.431379310344828;0.414028251339503;0.425926631366424;28142550;2009-09-22
"2009-09-23";0.424794203558287;0.441218074656189;0.414876720617153;0.4285546875;30208900;2009-09-23
"2009-09-24";0.430073523598703;0.449596774193548;0.414;0.435381825508765;38261150;2009-09-24
"2009-09-25";0.432687690091244;0.451097230212871;0.42208559943249;0.441844290799002;33880400;2009-09-25
"2009-09-28";0.439822426833278;0.462594913074146;0.412494168869538;0.435145790233811;29812250;2009-09-28
"2009-09-29";0.435708752904725;0.449028258018362;0.416046413985267;0.431328907479182;40971200;2009-09-29
"2009-09-30";0.432404261890056;0.44889573703133;0.423954372623574;0.435905413814561;35149600;2009-09-30
"2009-10-01";0.434220123613191;0.461598138091544;0.428582293885002;0.453084459590288;52417150;2009-10-01
"2009-10-02";0.452347251710309;0.470142874587862;0.429905811544925;0.452474247626742;33585450;2009-10-02
"2009-10-05";0.4516;0.474953011358993;0.443253968253968;0.464658634538153;33002300;2009-10-05
"2009-10-06";0.463862347857115;0.479622701584017;0.446207565470417;0.464285714285714;34018000;2009-10-06
"2009-10-07";0.464518618560679;0.476094925718696;0.448139143444922;0.463305728351715;58145900;2009-10-07
"2009-10-08";0.462861255255483;0.480330945723369;0.444363636363636;0.460858959195742;37202700;2009-10-08
"2009-10-09";0.462210910700454;0.472473142262369;0.448490360130957;0.463386937250449;37729600;2009-10-09
"2009-10-12";0.461973259900721;0.490787883227721;0.445110410094637;0.467894736842105;46115900;2009-10-12
"2009-10-13";0.467361915797605;0.487261030083708;0.445374912403644;0.466146679666342;37564200;2009-10-13
"2009-10-14";0.466401052968589;0.47605442662762;0.451056459993072;0.455821548938536;34988900;2009-10-14
"2009-10-15";0.457876087928721;0.476173541963016;0.434322252397814;0.463342903158042;38777750;2009-10-15
"2009-10-16";0.461937716262976;0.486044034090909;0.449775474956822;0.464951197870453;31678200;2009-10-16
"2009-10-19";0.459735429313309;0.478073916133618;0.449553264604811;0.459447384699979;28636900;2009-10-19
"2009-10-20";0.46110296374612;0.477595167860655;0.439478774305202;0.457981587632447;29839250;2009-10-20
"2009-10-21";0.456401456786665;0.477224576271186;0.444992971990812;0.464700010326667;28503100;2009-10-21
"2009-10-22";0.466682870933019;0.471813940435682;0.447446323454354;0.458300100565246;22335750;2009-10-22
"2009-10-23";0.458781607620092;0.467189679218968;0.448154597289085;0.454765276866213;16427950;2009-10-23
"2009-10-26";0.456199790429619;0.467124391354608;0.444778156996587;0.45802584623913;19973550;2009-10-26
"2009-10-27";0.457937062937063;0.474864376130199;0.442048611111111;0.463115484722074;36188050;2009-10-27
